drawdate,n1,n2,n3,n4,luckyball,win41,win40,win31,win30,win21,win11,win20,prize41,prize40,prize31,prize30,prize21,prize11,prize20
2014-07-04,15,26,29,35,13,0,6,41,940,1757,17296,29184,2 Million,4000.00,1280.00,165.00,62.50,7.50,5.50
2014-07-08,7,13,24,39,8,0,8,61,1066,2133,19142,33870,2 Million,2561.00,734.00,124.50,44.00,6.00,4.00
2014-07-11,1,9,11,34,5,0,4,70,1212,2197,18896,36129,2 Million,5180.50,647.00,110.50,43.00,6.00,3.50
2014-07-15,11,29,34,37,17,0,5,63,913,2124,21155,31691,2 Million,4268.00,740.50,151.00,46.00,5.50,4.50
2014-07-18,5,12,26,28,7,0,7,134,1374,2734,22914,36996,2 Million,2998.00,342.00,98.50,35.00,5.00,3.50
2014-07-22,2,24,44,47,9,0,8,52,915,1934,18968,31169,2 Million,2643.00,889.00,149.50,50.00,6.00,4.50
2014-07-25,2,17,23,27,13,1,8,83,1334,2339,20306,37118,2 Million,2597.50,547.50,100.50,40.50,5.50,3.50
2014-07-29,8,26,28,41,3,0,5,45,738,1606,14939,26737,500000,1524.50,371.00,66.50,21.50,2.50,2.00
2014-08-01,6,12,30,46,9,0,5,46,836,1663,15489,26578,600000,1599.00,380.50,61.50,21.50,2.50,2.00
2014-08-05,10,24,25,35,16,1,6,45,975,1730,15367,29807,900000,1366.50,399.00,54.00,21.50,3.00,2.00
2014-08-08,2,12,22,42,14,1,13,65,1017,1576,14158,26988,500000,565.50,248.00,46.50,21.00,2.50,2.00
2014-08-12,12,20,34,45,12,0,4,45,635,1595,15138,21607,500000,1789.00,348.50,72.50,20.00,2.50,2.00
2014-08-15,13,23,31,45,5,1,1,61,764,1495,13752,24150,600000,7258.50,260.50,61.00,22.00,2.50,2.00
2014-08-19,19,27,31,35,11,1,7,52,766,1662,15251,23801,500000,1002.00,295.50,59.00,19.00,2.50,2.00
2014-08-22,5,23,34,44,8,0,3,53,667,1374,13935,22541,500000,2305.50,286.00,66.50,22.50,2.50,2.00
2014-08-26,24,41,44,47,8,0,3,42,662,1247,12807,20785,600000,2330.50,364.50,68.00,25.50,3.00,2.00
2014-08-29,5,7,21,23,6,0,8,69,1201,1687,14819,33564,900000,943.50,239.50,40.50,20.00,2.50,2.00
2014-09-02,1,9,14,18,15,1,6,50,1055,1809,14814,30388,1.2 Million,1230.50,323.50,45.00,18.50,2.50,2.00
2014-09-05,4,14,21,41,17,1,0,41,802,1702,15554,24560,500000,0.00,540.00,55.50,18.50,2.50,2.00
2014-09-09,12,26,45,46,9,0,2,41,559,1415,13509,20256,500000,3397.50,363.00,78.00,21.50,2.50,2.00
2014-09-12,19,21,25,26,12,0,4,50,835,1734,14715,25628,600000,1744.00,305.50,53.50,18.00,2.50,2.00
2014-09-16,18,42,45,46,11,0,2,29,629,1238,13382,20272,900000,3660.50,553.00,75.00,26.50,3.00,2.00
2014-09-19,4,13,35,41,13,0,3,48,673,1783,16804,23288,1.2 Million,2515.50,344.50,72.00,19.00,2.50,2.00
2014-09-23,2,4,5,46,14,0,1,60,935,1655,14501,28421,1.6 Million,7707.50,281.50,53.00,21.00,3.00,2.00
2014-09-26,2,6,26,39,13,0,4,64,834,1837,16272,27524,1.9 Million,1975.00,270.50,61.00,19.50,2.50,2.00
2014-09-30,12,20,21,41,9,0,5,55,869,1864,16948,28317,2 Million,3214.00,638.50,119.50,39.50,5.00,3.50
