drawdate,n1,n2,n3,n4,n5,cashball,win51,win50,win41,win40,win31,win30,win21,prize51,prize50,prize41,prize40,prize31,prize30,prize21
2015-10-23,10,14,22,30,34,2,0,0,7,31,232,1024,2382,0,0,137,31,12,5,2,
2015-10-21,09,16,18,28,33,3,0,0,17,28,274,926,2488,0,0,50,30,9,5,1,
2015-10-19,05,08,12,26,28,4,1,0,12,49,338,1377,3056,360000,0,90,22,9,4,1,
2015-10-16,01,06,07,29,34,5,0,2,2,37,314,1182,3119,0,1478,553,29,10,5,1,
2015-10-14,11,19,26,27,35,4,0,1,8,42,281,1126,2602,0,18234,121,23,10,5,2,
2015-10-12,12,19,23,32,33,2,0,0,11,48,290,1194,2680,0,0,95,21,10,5,2,
2015-10-09,11,22,29,31,34,1,0,0,6,30,240,1157,2379,0,0,174,34,12,5,2,
2015-10-07,01,04,10,14,25,2,0,0,7,39,222,1161,2201,0,0,130,23,11,4,2,
2015-10-05,02,10,16,20,21,1,0,0,9,33,260,1154,2420,0,0,110,30,11,4,2,
2015-10-02,06,08,09,15,20,4,0,0,8,46,296,1097,2647,0,0,119,20,9,5,1,
2015-09-30,05,11,18,21,32,4,0,0,9,26,251,990,2380,0,0,97,33,10,5,2,
2015-09-28,05,07,10,21,22,2,1,1,7,50,338,1359,2824,320000,26348,150,21,9,4,2,
2015-09-25,01,08,19,29,31,1,0,0,9,42,251,1164,2504,0,0,113,24,11,5,2,
2015-09-23,07,24,28,29,35,3,0,0,8,27,298,1056,2569,0,0,114,34,8,5,1,
2015-09-21,03,05,10,21,29,1,0,0,6,43,301,1229,2550,0,0,166,23,9,4,2,
2015-09-18,07,10,18,19,26,5,0,0,6,39,311,1237,2826,0,0,165,25,9,4,1,
2015-09-16,04,10,12,26,35,3,0,0,10,48,271,1069,2509,0,0,88,18,9,4,1,
2015-09-14,01,16,20,34,35,5,0,0,7,34,274,968,2680,0,0,143,29,10,6,2,
2015-09-11,02,11,22,26,30,2,1,0,16,68,442,1682,4162,838156,0,99,23,10,5,2,
2015-09-09,10,18,20,24,28,2,0,0,21,57,376,1573,3628,0,0,66,24,10,5,2,
2015-09-07,02,10,15,23,35,3,0,1,10,51,410,1454,3439,0,23443,129,25,9,5,2,
2015-09-04,04,12,19,34,35,4,0,0,20,50,395,1507,3742,0,0,71,28,10,5,2,
2015-09-02,12,15,21,25,28,4,0,0,10,53,373,1380,3350,0,0,123,23,9,5,1,
2015-08-31,02,09,14,17,26,1,0,0,16,55,353,1613,3218,0,0,80,23,10,4,2,
2015-08-28,04,12,15,20,26,4,0,0,13,56,318,1270,3272,0,0,95,22,11,5,2,
2015-08-26,05,19,23,25,26,3,0,0,12,38,325,1277,3011,0,0,90,28,9,4,1,
